EDL	Record In	Record Out	Clipname	Subtitle

https://chrt.fm/track/53A61E/pdst.fm/e/www.podtrac.com/pts/redirect.mp3/waaa.wnyc.org/radiolab_podcast/radiolab_podcast120222_ashes.mp3?awCollectionId=15957&awEpisodeId=1276180

A global pandemic. Thousands dying. A passive government. An afflicted group
fueled by grief and anger. In this episode, first aired in 2020, Reporter
Tracie Hunte wanted to understand this moment of pain and confusion. As she
looked back three decades, she found a complicated answer to a simple question:
when nothing seems to work, how do you make change?

Special thanks to Dr. Anthony Fauci.

Episode Credits:

Reported by Tracie HuntProduced by Matt Kielty

Our newsletter comes out every Wednesday. It includes short essays,
recommendations, and details about other ways to interact with the show. Sign
up (https://radiolab.org/newsletter)!

Radiolab is supported by listeners like you. Support Radiolab by becoming a
member of The Lab (https://members.radiolab.org/) today.

Follow our show on Instagram, Twitter and Facebook @radiolab, and share your
thoughts with us by emailing radiolab@wnyc.org

Leadership support for Radiolab’s science programming is provided by the Gordon
and Betty Moore Foundation, Science Sandbox, a Simons Foundation Initiative,
and the John Templeton Foundation. Foundational support for Radiolab was
provided by the Alfred P. Sloan Foundation.

EDL	00:00:00,000	00:00:01,360	| The Ashes on the Lawn |	I'm Katie Thornton. 
EDL	00:00:01,360	00:00:22,860	| The Ashes on the Lawn |	Host of the divided dial a new five part series from WNYC's on the media about the political rights reign on talk radio and the most influential media company you've never heard of Tuesdays in the on the media feed listener supported WNYC studios. 
EDL	00:00:22,860	00:00:23,870	| The Ashes on the Lawn |	[ SPACE 1.0 secs ]
EDL	00:00:23,870	00:00:25,070	| The Ashes on the Lawn |	Hey, it's lot deaf. 
EDL	00:00:25,070	00:00:42,330	| The Ashes on the Lawn |	We pulled an episode from the archive today because it takes on a question that is as pressing as ever, maybe even more so how do you fix the world, how do you change things when you don't personally have the power to change them and the people in power don't really want to change them. 
EDL	00:00:42,330	00:00:49,980	| The Ashes on the Lawn |	And when all you have is your voice and your life and your love, what can you do? 
EDL	00:00:49,980	00:01:05,480	| The Ashes on the Lawn |	And I don't mean it in like a what can you do, I mean it in like a what can you do that will help make things right a couple years back, our reporter Tracy hunt took on this question by looking at different kinds of AIDS activists in the eighties and 90s. 
EDL	00:01:05,480	00:01:20,560	| The Ashes on the Lawn |	What they did, what it accomplished, where they fell short also you will no doubt recognize the gravelly and calm voice of Anthony Fauci in this episode after nearly four decades heading the National Institute of allergy and infectious disease. 
EDL	00:01:20,560	00:01:27,370	| The Ashes on the Lawn |	He is stepping down this month, so we wanted to replay this as well to mark that once again. 
EDL	00:01:27,370	00:01:30,020	| The Ashes on the Lawn |	This episode is reported by the super talented Tracy hunt. 
EDL	00:01:30,020	00:01:35,600	| The Ashes on the Lawn |	You can also hear her terrific work on shows like the experiment notes from america with Kyrie. 
