https://radiolab.org/podcast/cataclysm-sentence-2306/transcript
https://chrt.fm/track/53A61E/pdst.fm/e/dts.podtrac.com/pts/redirect.mp3/waaa.wnyc.org/radiolab_podcast/radiolab_podcast063023_cataclysm.mp3?awCollectionId=15957&awEpisodeId=1339954
work time: 1h54min
EDL	00:00:00,000	00:00:17,322	| radiolab_the_cataclysm_sentence |	[INTRO]
EDL	00:00:17,322	00:00:20,208	| radiolab_the_cataclysm_sentence |	LULU MILLER: Welcome to our HR exit interview.
EDL	00:00:20,208	00:00:21,488	| radiolab_the_cataclysm_sentence |	LATIF NASSER: Welcome to the HR exit interview.
EDL	00:00:21,488	00:00:22,960	| radiolab_the_cataclysm_sentence |	RACHAEL CUSICK: This is so silly. [laughs]
EDL	00:00:22,960	00:00:25,936	| radiolab_the_cataclysm_sentence |	LATIF: All your answers will be purely confidential.
EDL	00:00:25,936	00:00:26,640	| radiolab_the_cataclysm_sentence |	RACHAEL: Mm-hmm.
EDL	00:00:26,640	00:00:29,317	| radiolab_the_cataclysm_sentence |	LATIF: Except for the ones that we're gonna broadcast to millions of people.
EDL	00:00:29,317	00:00:31,547	| radiolab_the_cataclysm_sentence |	RACHAEL: Yeah. Yeah, this is very bad HR practices.
EDL	00:00:31,547	00:00:33,385	| radiolab_the_cataclysm_sentence |	LULU: Hey, everyone. This is Lulu.
EDL	00:00:33,385	00:00:34,330	| radiolab_the_cataclysm_sentence |	LATIF: And Latif.
EDL	00:00:34,330	00:00:37,035	| radiolab_the_cataclysm_sentence |	LULU: Okay, number five it says here on our official questionnaire ...
EDL	00:00:37,035	00:00:37,663	| radiolab_the_cataclysm_sentence |	LULU: And today ...
EDL	00:00:37,663	00:00:41,952	| radiolab_the_cataclysm_sentence |	LULU: ... what was your favorite bathroom to use for number two?
EDL	00:00:41,952	00:00:42,911	| radiolab_the_cataclysm_sentence |	LATIF: [laughs]
EDL	00:00:42,911	00:00:43,672	| radiolab_the_cataclysm_sentence |	RACHAEL: Oh, I can tell you.
